datetime,power,Temperature,humidity,Liquid,Wind Speed,holiday
2015/1/5 18:00,1188.0149,25.79711304,0.017598353,0.011131287,10.48433234,0
2015/1/5 19:00,1207.7648,25.09990845,0.017430276,0.004426956,10.55103141,0
2015/1/5 20:00,1156.6583,24.68166504,0.017239325,0.002801895,10.79446422,0
2015/1/5 21:00,1114.1973,24.33254395,0.017056057,0.00135994,11.05026315,0
2015/1/5 22:00,1066.7578,24.07595215,0.01693388,0.000603199,11.8994086,0
2015/1/5 23:00,1002.3568,23.9026123,0.016857523,0.002989769,12.84347456,0
2015/1/6 0:00,931.5394,23.76549683,0.016743056,0.008728027,13.56001173,0
2015/1/6 1:00,914.6895,23.60509644,0.016590474,0.008876801,14.22240956,0
2015/1/6 2:00,890.8448,23.49379883,0.016529419,0.006481171,14.4805807,0
2015/1/6 3:00,869.0447,23.42516479,0.016407348,0.011116028,14.5844219,0
2015/1/6 4:00,852.4821,23.3557373,0.016376896,0.006162643,14.36913783,0
2015/1/6 5:00,891.2575,23.34237061,0.01641517,0.008403778,14.01057592,0
2015/1/6 6:00,895.6612,23.38463745,0.016415257,0.01776123,13.85081072,0
2015/1/6 7:00,1006.3031,24.4475647,0.0167892,0.01763916,15.63128477,0
2015/1/6 8:00,1183.9851,26.09664307,0.017453047,0.018806458,17.54010106,0
2015/1/6 9:00,1311.9373,27.49147949,0.017735485,0.012451172,19.31359782,0
2015/1/6 10:00,1384.2441,28.58382568,0.017773764,0.006723404,19.43349162,0
2015/1/6 11:00,1401.9173,29.39156494,0.01778906,0.008277893,18.68122742,0
2015/1/6 12:00,1415.6382,29.91698608,0.01777377,0.011432648,17.73598701,0
2015/1/6 13:00,1437.47,30.14214478,0.01774323,0.01637268,16.88731631,0
2015/1/6 14:00,1430.0527,30.08962402,0.017720368,0.02205658,16.11982112,0
2015/1/6 15:00,1383.4537,29.72744141,0.017644137,0.020744324,15.26889727,0
2015/1/6 16:00,1325.206,29.03411255,0.017659474,0.01738739,13.75963438,0
2015/1/6 17:00,1166.9817,27.70876465,0.0178808,0.019012451,10.78538688,0
2015/1/6 18:00,1163.0865,25.72078857,0.0176596,0.025817871,8.264676955,0
2015/1/6 19:00,1197.1559,24.80874023,0.017423142,0.021026611,8.237458979,0
2015/1/6 20:00,1155.743,24.21889648,0.017194318,0.018203735,8.392656959,0
2015/1/6 21:00,1116.5382,23.73079834,0.016980743,0.023231506,8.374995413,0
2015/1/6 22:00,1086.2051,23.34868774,0.016828185,0.01991272,8.719513339,0
2015/1/6 23:00,1030.0292,22.99813232,0.016690865,0.018226624,9.090072159,0
2015/1/7 0:00,979.6728,22.68041382,0.01653065,0.016052246,9.519345265,0
2015/1/7 1:00,940.4568,22.42574463,0.016385702,0.015403748,10.0782165,0
2015/1/7 2:00,908.5931,22.24837646,0.016225511,0.012042999,10.66105905,0
2015/1/7 3:00,886.4675,22.05715332,0.016034804,0.007059097,11.02963234,0
2015/1/7 4:00,876.4283,21.87612305,0.015844084,0.002937317,10.99682161,0
2015/1/7 5:00,892.4143,21.73049316,0.015699089,0.001933098,10.72297496,0
2015/1/7 6:00,907.9188,21.70412598,0.015653253,0.004297257,10.50648399,0
2015/1/7 7:00,1010.5448,23.06398926,0.01604996,0.009700775,13.13055205,0
2015/1/7 8:00,1164.6559,25.12203369,0.016713737,0.012645721,15.41401315,0
2015/1/7 9:00,1293.9383,26.91781006,0.016965613,0.016082764,17.95643318,0
2015/1/7 10:00,1366.6676,28.16503296,0.017057508,0.019432068,18.56247869,0
2015/1/7 11:00,1390.9173,29.06115112,0.017195212,0.024406433,18.74555184,0
2015/1/7 12:00,1383.5812,29.62294922,0.017325008,0.028686523,18.54256009,0
2015/1/7 13:00,1407.7425,29.85372314,0.01736319,0.02999878,18.15338033,0
2015/1/7 14:00,1408.6819,29.75524292,0.01735556,0.029647827,17.73160736,0
2015/1/7 15:00,1362.4042,29.33028564,0.017271614,0.02684784,17.27702248,0
2015/1/7 16:00,1286.8121,28.53115234,0.017248748,0.030784607,15.81481545,0
2015/1/7 17:00,1179.9351,27.15877686,0.017279355,0.046554565,13.02864348,0
2015/1/7 18:00,1182.7732,25.39681396,0.017020123,0.05480957,10.60102777,0
2015/1/7 19:00,1206.2524,24.62767944,0.016783943,0.05154419,10.12355062,0
2015/1/7 20:00,1143.2591,24.0708252,0.016624227,0.04408264,9.376376852,0
2015/1/7 21:00,1138.631,23.50634155,0.016525667,0.037353516,8.27195746,0
2015/1/7 22:00,1095.4537,23.13192139,0.016427107,0.038116455,8.178365424,0
2015/1/7 23:00,1044.1697,22.8923584,0.016381772,0.041778564,8.565605137,0
2015/1/8 0:00,985.8912,22.7053772,0.016374405,0.03756714,9.207167495,0
2015/1/8 1:00,962.4068,22.54299316,0.016367074,0.032714844,9.836932663,0
2015/1/8 2:00,928.1036,22.449823,0.016336776,0.033081055,10.17902852,0
2015/1/8 3:00,917.9997,22.40014038,0.016306492,0.034820557,10.44747456,0
2015/1/8 4:00,910.9537,22.36419067,0.016245754,0.0435791,10.73932752,0
2015/1/8 5:00,928.724,22.31743774,0.016184237,0.04737854,10.88943492,0
2015/1/8 6:00,931.4314,22.34734497,0.016161187,0.043655396,11.2041452,0
2015/1/8 7:00,1033.7357,23.38994751,0.01657417,0.055023193,13.61101994,0
2015/1/8 8:00,1186.5044,25.1774231,0.017199926,0.058135986,15.66463087,0
2015/1/8 9:00,1275.112,26.88430176,0.017131323,0.062561035,18.89311594,0
2015/1/8 10:00,1348.951,27.99312744,0.017016968,0.058288574,19.90303089,0
2015/1/8 11:00,1365.6284,28.78597412,0.017047549,0.055099487,19.89994307,0
2015/1/8 12:00,1343.4717,29.2973877,0.017053923,0.044006348,19.66726157,0
2015/1/8 13:00,1371.5959,29.52895508,0.01696168,0.04664612,19.49540767,0
2015/1/8 14:00,1383.9909,29.40715942,0.016869716,0.046218872,19.2566555,0
2015/1/8 15:00,1333.5524,28.98504028,0.016800638,0.034713745,18.73823046,0
2015/1/8 16:00,1255.568,28.16704712,0.016777428,0.030891418,17.55683625,0
2015/1/8 17:00,1142.0101,26.78035889,0.016716093,0.041534424,15.44123894,0
2015/1/8 18:00,1188.5847,25.14525757,0.016494777,0.04660034,13.84910224,0
2015/1/8 19:00,1172.1282,24.4805542,0.016342046,0.033843994,14.2506782,0
2015/1/8 20:00,1136.7167,24.14876709,0.01622757,0.024803162,14.40517723,0
2015/1/8 21:00,1111.7702,23.8961731,0.016044488,0.020004272,14.30074709,0
2015/1/8 22:00,1069.2922,23.63344727,0.015846094,0.01941681,13.96299812,0
2015/1/8 23:00,1017.9603,23.32973633,0.015708568,0.020652771,13.15522354,0
2015/1/9 0:00,977.2739,23.08248291,0.015628155,0.02179718,12.74290355,1
2015/1/9 1:00,943.6081,22.97597656,0.015578357,0.02117157,13.29401368,1
2015/1/9 2:00,917.064,22.86412964,0.01557448,0.020439148,13.76935272,1
2015/1/9 3:00,895.9092,22.8097168,0.015601344,0.023963928,13.77962886,1
2015/1/9 4:00,885.272,22.85537109,0.015639773,0.034744263,13.64843733,1
2015/1/9 5:00,884.8111,22.96618042,0.01566295,0.04460144,13.61770888,1
2015/1/9 6:00,866.5622,23.07961426,0.01566316,0.046951294,13.35105611,1
2015/1/9 7:00,883.0248,24.01973877,0.01594543,0.04232788,14.73377844,1
2015/1/9 8:00,953.57,25.4821106,0.016472397,0.02974701,16.69809741,1
2015/1/9 9:00,1006.9689,26.89168701,0.016739765,0.024383545,18.94129357,1
2015/1/9 10:00,1058.0176,27.95144043,0.016694065,0.014636993,19.7979231,1
2015/1/9 11:00,1088.0395,28.78927002,0.016800886,0.005409241,19.61914179,1
2015/1/9 12:00,1080.8465,29.35686646,0.016922953,0.002531052,19.04498917,1
2015/1/9 13:00,1073.435,29.65603027,0.01695348,0.001589775,18.18863831,1
2015/1/9 14:00,1075.0293,29.57396851,0.016945805,0.001999855,17.30852623,1
2015/1/9 15:00,1059.6223,29.13253174,0.016884929,0.003980637,16.50106672,1
2015/1/9 16:00,1026.1627,28.33010254,0.016778197,0.006202698,15.24191181,1
2015/1/9 17:00,997.3978,26.95217285,0.016839191,0.010292053,12.84579789,1
2015/1/9 18:00,1054.8104,25.19960938,0.016800903,0.026573181,10.31782513,1
2015/1/9 19:00,1105.863,24.5793396,0.016732508,0.046707153,10.48612111,1
2015/1/9 20:00,1085.7856,24.25151978,0.01668658,0.04902649,10.5216507,1
2015/1/9 21:00,1061.3146,24.00124512,0.016648522,0.06466675,10.26356478,1
2015/1/9 22:00,1033.8639,23.82790527,0.016587975,0.08227539,10.55385706,1
2015/1/9 23:00,989.8507,23.74190674,0.016527457,0.086883545,11.19261874,1
2015/1/10 0:00,949.5031,23.66997681,0.016482096,0.07217407,11.89442607,0
2015/1/10 1:00,906.958,23.55462036,0.0164213,0.051376343,12.48562723,0
2015/1/10 2:00,863.5135,23.42971191,0.016337447,0.038711548,12.94957646,0
2015/1/10 3:00,848.4447,23.30941162,0.016291706,0.028526306,13.09153326,0
2015/1/10 4:00,839.8821,23.30635986,0.01633737,0.016181946,13.05065017,0
2015/1/10 5:00,847.1073,23.35439453,0.01642159,0.009590149,12.84608798,0
